frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-1.310742e+01
1;0.010000;-1.278131e+01
2;0.020000;-1.333588e+01
3;0.030000;-1.366872e+01
4;0.040000;-1.240156e+01
5;0.050000;-1.226263e+01
6;0.060000;-1.244858e+01
7;0.070000;-1.383381e+01
8;0.080000;-1.080885e+01
9;0.090000;-8.465369e+00
10;0.100000;-8.336422e+00
11;0.110000;-8.723607e+00
12;0.120000;-7.121297e+00
13;0.130000;-4.525112e+00
14;0.140000;-3.673516e+00
15;0.150000;-3.260345e+00
16;0.160000;-3.296822e+00
17;0.170000;-3.624278e+00
18;0.180000;-4.099533e+00
19;0.190000;-4.625267e+00
20;0.200000;-5.060298e+00
21;0.210000;-5.240816e+00
22;0.220000;-5.180086e+00
23;0.230000;-5.055655e+00
24;0.240000;-4.582948e+00
25;0.250000;-4.411115e+00
26;0.260000;-4.571097e+00
27;0.270000;-5.300437e+00
28;0.280000;-5.450345e+00
29;0.290000;-5.166873e+00
30;0.300000;-4.834466e+00
31;0.310000;-4.775699e+00
32;0.320000;-4.558470e+00
33;0.330000;-4.070776e+00
34;0.340000;-3.437018e+00
35;0.350000;-2.969405e+00
36;0.360000;-2.721199e+00
37;0.370000;-2.609277e+00
38;0.380000;-2.501189e+00
39;0.390000;-2.384446e+00
40;0.400000;-2.326308e+00
41;0.410000;-2.371938e+00
42;0.420000;-2.371755e+00
43;0.430000;-2.470397e+00
44;0.440000;-2.612851e+00
45;0.450000;-2.734953e+00
46;0.460000;-2.967136e+00
47;0.470000;-3.254074e+00
48;0.480000;-3.645720e+00
49;0.490000;-4.027097e+00
50;0.500000;-4.392704e+00
51;0.510000;-4.631797e+00
52;0.520000;-4.767588e+00
53;0.530000;-4.661004e+00
54;0.540000;-4.319528e+00
55;0.550000;-3.854850e+00
56;0.560000;-3.441911e+00
57;0.570000;-3.144129e+00
58;0.580000;-3.001612e+00
59;0.590000;-2.908755e+00
60;0.600000;-2.614947e+00
61;0.610000;-2.095719e+00
62;0.620000;-1.843745e+00
63;0.630000;-2.108839e+00
64;0.640000;-2.788118e+00
65;0.650000;-3.144317e+00
66;0.660000;-2.991571e+00
67;0.670000;-2.962509e+00
68;0.680000;-3.053010e+00
69;0.690000;-3.129723e+00
70;0.700000;-3.242388e+00
71;0.710000;-3.327339e+00
72;0.720000;-3.569769e+00
73;0.730000;-3.841174e+00
74;0.740000;-3.737427e+00
75;0.750000;-3.574634e+00
76;0.760000;-3.570844e+00
77;0.770000;-3.615473e+00
78;0.780000;-3.606619e+00
79;0.790000;-3.650690e+00
80;0.800000;-3.652502e+00
81;0.810000;-3.608217e+00
82;0.820000;-3.578385e+00
83;0.830000;-3.621369e+00
84;0.840000;-3.619310e+00
85;0.850000;-3.540962e+00
86;0.860000;-3.391346e+00
87;0.870000;-3.195007e+00
88;0.880000;-3.027256e+00
89;0.890000;-2.917465e+00
90;0.900000;-3.227070e+00
91;0.910000;-3.982167e+00
92;0.920000;-5.852596e+00
93;0.930000;-7.647269e+00
94;0.940000;-1.042616e+01
95;0.950000;-1.072133e+01
96;0.960000;-1.001193e+01
97;0.970000;-7.466661e+00
98;0.980000;-5.850442e+00
99;0.990000;-5.606479e+00
100;1.000000;-6.353972e+00
101;1.010000;-6.512875e+00
102;1.020000;-5.801380e+00
103;1.030000;-5.258040e+00
104;1.040000;-4.949085e+00
105;1.050000;-4.487424e+00
106;1.060000;-3.959972e+00
107;1.070000;-3.527449e+00
108;1.080000;-3.259407e+00
109;1.090000;-3.138745e+00
110;1.100000;-3.175626e+00
111;1.110000;-3.418017e+00
112;1.120000;-3.840221e+00
113;1.130000;-4.356848e+00
114;1.140000;-4.926916e+00
115;1.150000;-5.235447e+00
116;1.160000;-5.570699e+00
117;1.170000;-5.927054e+00
118;1.180000;-6.400717e+00
119;1.190000;-6.607185e+00
120;1.200000;-6.954500e+00
121;1.210000;-7.143580e+00
122;1.220000;-6.996262e+00
123;1.230000;-7.195097e+00
124;1.240000;-7.011981e+00
125;1.250000;-7.228194e+00
126;1.260000;-7.758610e+00
127;1.270000;-8.175397e+00
128;1.280000;-8.039845e+00
129;1.290000;-7.792093e+00
130;1.300000;-7.345145e+00
131;1.310000;-7.005796e+00
132;1.320000;-6.374169e+00
133;1.330000;-5.844920e+00
134;1.340000;-5.757812e+00
135;1.350000;-5.842440e+00
136;1.360000;-5.776248e+00
137;1.370000;-5.344730e+00
138;1.380000;-5.161900e+00
139;1.390000;-5.037018e+00
140;1.400000;-4.981740e+00
141;1.410000;-5.283220e+00
142;1.420000;-6.340602e+00
143;1.430000;-8.269406e+00
144;1.440000;-9.744701e+00
145;1.450000;-1.031676e+01
146;1.460000;-1.032465e+01
147;1.470000;-1.294640e+01
148;1.480000;-1.333878e+01
149;1.490000;-9.162899e+00
150;1.500000;-9.154233e+00
151;1.510000;-9.119341e+00
152;1.520000;-1.198344e+01
153;1.530000;-1.171910e+01
154;1.540000;-1.173608e+01
155;1.550000;-1.265361e+01
156;1.560000;-1.195103e+01
157;1.570000;-1.163942e+01
158;1.580000;-7.337408e+00
159;1.590000;-6.469012e+00
160;1.600000;-6.276237e+00
161;1.610000;-6.548218e+00
162;1.620000;-7.241796e+00
163;1.630000;-6.450654e+00
164;1.640000;-5.635285e+00
165;1.650000;-5.319236e+00
166;1.660000;-5.333451e+00
167;1.670000;-5.304217e+00
168;1.680000;-5.246964e+00
169;1.690000;-5.303785e+00
170;1.700000;-5.269077e+00
171;1.710000;-5.337668e+00
172;1.720000;-5.330031e+00
173;1.730000;-5.313043e+00
174;1.740000;-5.390346e+00
175;1.750000;-5.383970e+00
176;1.760000;-5.450301e+00
177;1.770000;-5.653946e+00
178;1.780000;-5.923442e+00
179;1.790000;-6.207217e+00
180;1.800000;-6.240071e+00
181;1.810000;-6.190824e+00
182;1.820000;-6.005951e+00
183;1.830000;-5.841443e+00
184;1.840000;-5.708193e+00
185;1.850000;-5.621989e+00
186;1.860000;-5.584225e+00
187;1.870000;-5.597690e+00
188;1.880000;-5.647689e+00
189;1.890000;-5.730414e+00
190;1.900000;-5.900136e+00
191;1.910000;-6.068972e+00
192;1.920000;-6.308486e+00
193;1.930000;-6.625165e+00
194;1.940000;-7.245799e+00
195;1.950000;-8.009796e+00
196;1.960000;-9.249989e+00
197;1.970000;-1.023308e+01
198;1.980000;-1.088015e+01
199;1.990000;-1.102041e+01
200;2.000000;-1.091909e+01
201;2.010000;-1.101943e+01
202;2.020000;-1.116645e+01
203;2.030000;-1.109193e+01
204;2.040000;-1.101250e+01
205;2.050000;-1.114538e+01
