frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-1.256479e+01
1;0.010000;-1.188156e+01
2;0.020000;-1.217194e+01
3;0.030000;-1.251901e+01
4;0.040000;-8.105593e+00
5;0.050000;-7.629471e+00
6;0.060000;-7.564275e+00
7;0.070000;-8.769709e+00
8;0.080000;-9.712154e+00
9;0.090000;-9.733051e+00
10;0.100000;-9.997456e+00
11;0.110000;-1.043715e+01
12;0.120000;-1.082859e+01
13;0.130000;-1.080547e+01
14;0.140000;-1.048868e+01
15;0.150000;-9.511890e+00
16;0.160000;-8.767044e+00
17;0.170000;-7.332722e+00
18;0.180000;-5.984944e+00
19;0.190000;-5.677290e+00
20;0.200000;-5.526284e+00
21;0.210000;-5.144472e+00
22;0.220000;-4.859893e+00
23;0.230000;-4.673939e+00
24;0.240000;-4.676802e+00
25;0.250000;-4.913785e+00
26;0.260000;-5.449582e+00
27;0.270000;-6.020976e+00
28;0.280000;-6.877623e+00
29;0.290000;-7.839236e+00
30;0.300000;-6.964018e+00
31;0.310000;-5.049304e+00
32;0.320000;-4.318426e+00
33;0.330000;-4.063127e+00
34;0.340000;-4.111382e+00
35;0.350000;-4.133494e+00
36;0.360000;-4.168971e+00
37;0.370000;-4.431991e+00
38;0.380000;-5.096023e+00
39;0.390000;-6.299076e+00
40;0.400000;-8.445736e+00
41;0.410000;-9.666516e+00
42;0.420000;-8.504723e+00
43;0.430000;-7.051112e+00
44;0.440000;-6.177754e+00
45;0.450000;-5.679201e+00
46;0.460000;-5.805403e+00
47;0.470000;-5.038981e+00
48;0.480000;-4.852743e+00
49;0.490000;-4.913466e+00
50;0.500000;-5.785974e+00
51;0.510000;-6.320492e+00
52;0.520000;-7.178832e+00
53;0.530000;-7.220583e+00
54;0.540000;-5.842518e+00
55;0.550000;-4.880519e+00
56;0.560000;-4.493094e+00
57;0.570000;-4.374427e+00
58;0.580000;-4.496208e+00
59;0.590000;-4.745334e+00
60;0.600000;-5.169046e+00
61;0.610000;-5.738039e+00
62;0.620000;-6.450897e+00
63;0.630000;-7.226024e+00
64;0.640000;-7.813988e+00
65;0.650000;-1.072594e+01
66;0.660000;-1.124859e+01
67;0.670000;-1.206282e+01
68;0.680000;-1.215355e+01
69;0.690000;-7.601342e+00
70;0.700000;-6.428909e+00
71;0.710000;-5.573806e+00
72;0.720000;-5.387164e+00
73;0.730000;-5.059417e+00
74;0.740000;-4.821839e+00
75;0.750000;-4.598812e+00
76;0.760000;-4.532206e+00
77;0.770000;-5.006526e+00
78;0.780000;-6.681280e+00
79;0.790000;-8.751527e+00
80;0.800000;-1.129325e+01
81;0.810000;-1.097644e+01
82;0.820000;-8.666244e+00
83;0.830000;-7.960290e+00
84;0.840000;-7.131751e+00
85;0.850000;-7.051551e+00
86;0.860000;-7.440040e+00
87;0.870000;-7.144270e+00
88;0.880000;-5.335263e+00
89;0.890000;-4.352569e+00
90;0.900000;-3.969665e+00
91;0.910000;-3.663907e+00
92;0.920000;-3.535508e+00
93;0.930000;-3.687418e+00
94;0.940000;-4.233635e+00
95;0.950000;-5.474115e+00
96;0.960000;-5.688624e+00
97;0.970000;-5.910524e+00
98;0.980000;-5.477256e+00
99;0.990000;-4.816288e+00
100;1.000000;-4.265307e+00
101;1.010000;-4.126323e+00
102;1.020000;-4.481221e+00
103;1.030000;-5.433504e+00
104;1.040000;-6.669558e+00
105;1.050000;-7.616197e+00
106;1.060000;-7.186471e+00
107;1.070000;-7.014295e+00
108;1.080000;-7.095303e+00
109;1.090000;-6.411204e+00
110;1.100000;-4.841572e+00
111;1.110000;-4.093995e+00
112;1.120000;-3.797744e+00
113;1.130000;-3.664925e+00
114;1.140000;-3.299259e+00
115;1.150000;-3.163757e+00
116;1.160000;-3.104106e+00
117;1.170000;-3.195607e+00
118;1.180000;-3.311807e+00
119;1.190000;-3.448978e+00
120;1.200000;-3.581451e+00
121;1.210000;-4.153602e+00
122;1.220000;-5.336351e+00
123;1.230000;-6.943089e+00
124;1.240000;-8.608307e+00
125;1.250000;-8.684687e+00
126;1.260000;-7.519155e+00
127;1.270000;-6.380133e+00
128;1.280000;-5.769248e+00
129;1.290000;-4.736320e+00
130;1.300000;-3.991772e+00
131;1.310000;-3.460186e+00
132;1.320000;-3.418004e+00
133;1.330000;-3.592519e+00
134;1.340000;-4.159751e+00
135;1.350000;-5.179064e+00
136;1.360000;-6.726280e+00
137;1.370000;-6.957041e+00
138;1.380000;-7.202124e+00
139;1.390000;-8.202411e+00
140;1.400000;-8.003419e+00
141;1.410000;-7.269655e+00
142;1.420000;-6.099395e+00
143;1.430000;-4.710041e+00
144;1.440000;-3.922693e+00
145;1.450000;-3.480187e+00
146;1.460000;-2.836259e+00
147;1.470000;-2.332362e+00
148;1.480000;-2.290829e+00
149;1.490000;-2.812479e+00
150;1.500000;-4.048501e+00
151;1.510000;-4.523758e+00
152;1.520000;-5.046373e+00
153;1.530000;-4.604695e+00
154;1.540000;-3.405428e+00
155;1.550000;-2.734129e+00
156;1.560000;-2.512866e+00
157;1.570000;-2.739858e+00
158;1.580000;-3.013151e+00
159;1.590000;-3.296031e+00
160;1.600000;-3.566023e+00
161;1.610000;-4.310625e+00
162;1.620000;-4.795323e+00
163;1.630000;-3.799207e+00
164;1.640000;-3.132115e+00
165;1.650000;-2.906021e+00
166;1.660000;-2.937071e+00
167;1.670000;-3.044078e+00
168;1.680000;-3.099545e+00
169;1.690000;-3.157208e+00
170;1.700000;-3.251259e+00
171;1.710000;-3.289419e+00
172;1.720000;-3.303790e+00
173;1.730000;-2.977923e+00
174;1.740000;-2.466777e+00
175;1.750000;-2.264394e+00
176;1.760000;-2.314323e+00
177;1.770000;-2.305238e+00
178;1.780000;-2.495957e+00
179;1.790000;-3.106132e+00
180;1.800000;-4.307434e+00
181;1.810000;-3.981947e+00
182;1.820000;-3.379711e+00
183;1.830000;-2.952441e+00
184;1.840000;-2.614984e+00
185;1.850000;-2.458752e+00
186;1.860000;-2.367485e+00
187;1.870000;-2.373135e+00
188;1.880000;-2.420124e+00
189;1.890000;-2.455995e+00
190;1.900000;-2.507036e+00
191;1.910000;-2.319416e+00
192;1.920000;-2.084520e+00
193;1.930000;-2.326306e+00
194;1.940000;-2.742173e+00
195;1.950000;-3.252710e+00
196;1.960000;-3.155418e+00
197;1.970000;-3.274393e+00
198;1.980000;-3.535769e+00
199;1.990000;-3.916257e+00
200;2.000000;-4.342422e+00
201;2.010000;-4.712536e+00
202;2.020000;-4.715293e+00
203;2.030000;-4.296284e+00
204;2.040000;-3.694640e+00
205;2.050000;-3.281556e+00
206;2.060000;-2.872643e+00
207;2.070000;-2.679616e+00
208;2.080000;-2.431378e+00
209;2.090000;-2.452875e+00
210;2.100000;-2.446926e+00
211;2.110000;-2.616854e+00
212;2.120000;-2.817528e+00
213;2.130000;-3.532026e+00
214;2.140000;-5.079448e+00
215;2.150000;-7.697544e+00
216;2.160000;-9.130376e+00
217;2.170000;-8.962316e+00
218;2.180000;-6.296261e+00
219;2.190000;-4.046935e+00
220;2.200000;-3.465365e+00
221;2.210000;-3.150647e+00
222;2.220000;-3.374078e+00
223;2.230000;-2.946890e+00
224;2.240000;-2.566189e+00
225;2.250000;-2.617237e+00
226;2.260000;-3.669039e+00
227;2.270000;-4.470539e+00
228;2.280000;-6.795216e+00
229;2.290000;-9.870773e+00
230;2.300000;-9.753441e+00
231;2.310000;-7.192932e+00
232;2.320000;-6.699327e+00
233;2.330000;-4.967102e+00
234;2.340000;-4.164587e+00
235;2.350000;-3.946992e+00
236;2.360000;-4.441410e+00
237;2.370000;-5.195057e+00
238;2.380000;-5.940033e+00
239;2.390000;-6.863926e+00
240;2.400000;-8.155775e+00
241;2.410000;-9.557873e+00
242;2.420000;-1.025838e+01
243;2.430000;-1.042316e+01
244;2.440000;-1.067147e+01
245;2.450000;-7.443025e+00
246;2.460000;-6.416818e+00
247;2.470000;-5.823746e+00
248;2.480000;-5.932463e+00
249;2.490000;-6.419565e+00
250;2.500000;-6.899905e+00
251;2.510000;-7.346019e+00
252;2.520000;-8.266827e+00
253;2.530000;-9.222939e+00
254;2.540000;-1.025289e+01
255;2.550000;-1.070519e+01
256;2.560000;-1.118157e+01
